Gene,log2FC,p-value,adj_p-value
CDKN2A.1,2.5948692222660106,0.0018803467530633953,0.01564584819983955
SLC11A2,1.4641182298554671,0.0015801631775504141,0.013834944437607646
DTL,1.956566541195209,1.7596033586280633e-05,0.0007842041243593308
EXOSC4,1.0619216030498921,0.00119176418534577,0.011241932475961924
ETS2,1.1900199622375085,0.00010145071732610117,0.0020800351927112667
SLC6A14,2.356078797171502,0.0029670857614822518,0.02198558495122182
ASCC3,1.0226698082455705,0.006251327880581608,0.03826537454554272
GTF2F2,1.1472750010372446,0.003286917394955954,0.023625977381443102
OCA2,1.2190843156522886,0.0011716628218989473,0.011115532557440237
UNC93A,1.7079904231150762,0.0019070945378298493,0.015830983667409888
POLR1C,1.7434909046790688,0.0001311885306391328,0.0024691973173237135
PLA2G3,1.3620884322621498,0.007705177854714741,0.044629167837593506
TTLL4,1.1884340622838037,0.0003490109424003147,0.004714745817017164
CEP55,2.29802248401826,1.9906580768638184e-06,0.0002638893456300131
PUS7L,1.0555715251797544,0.00018671024863799803,0.0031293230402676528
GRHL2,1.301758030953825,0.000871749189918144,0.009068768173739588
ZNF239,1.3765053779115777,0.0006246366617428717,0.007176864539002156
ODC1,1.2224761139625149,0.0019104660022935204,0.015834074190123455
MMP11,3.2143254506775887,0.0004972955140363943,0.006077480709155426
ACTL6A,1.3200847826449904,0.00024029410259342326,0.003677196274324574
S100A11,1.4059202980260204,2.567972879174359e-05,0.0009184033889123882
TESC,3.5720313763653686,5.541848438607826e-05,0.0014234461855651736
NR0B2,1.739150077877503,1.6673630787555393e-05,0.0007656084104038916
COL7A1,1.8973138093390918,0.0009507428869847498,0.009588246555560625
PCNXL2.1,1.0506446218322048,3.901858547506504e-05,0.001147624635184434
HKDC1,1.8269310280292004,8.784004207994813e-05,0.001904523622838136
CXCL5,3.06468593834064,0.00404529977938602,0.027688612735124383
PROX1,2.0789034478733046,3.642763541915612e-05,0.0011148968185242594
DDX10,1.0957981669944656,0.005724846798405851,0.035732539273659165
E2F8,1.009302285013826,0.002866154665699678,0.021540019299019858
CST1,4.59220529385605,0.002143203098910824,0.017354356994938185
C17orf53,1.601021847718136,0.0005688219848846629,0.0066735459315523955
YTHDF1,1.115289213858388,0.007615069709855332,0.0442555111028906
MYC,1.7815078173457464,1.9862563025901818e-05,0.00081925313668163
CDK5,1.006470629214578,0.006696497096168057,0.04022088329831542
DACH1.1,2.302566796475079,7.2111358719368045e-06,0.0005093878890995361
EXOSC8,1.1131774034470445,0.0014521762336182403,0.012983512998116002
CKS2,1.9030423238913752,2.070902395666988e-06,0.0002657474316471463
DBNDD1,1.5207634594232387,8.742322074330468e-05,0.001899386394708959
NEIL3,1.6273114543145444,4.4927549736210217e-07,0.00015302903150472377
STC1,1.4180645182872986,0.0009071283598574012,0.009281364681913082
TBC1D16,1.26045490695939,0.0028463278326824088,0.021436787150708667
RIPK2,1.3143932612991305,0.0009656534210893456,0.009707100985317066
OIP5,1.2057091801000621,8.355271120119437e-05,0.0018534308352382593
